2025-12-10 02:55:36 | WARNING | app.Enrichment.rugcheck | RugCheck request error for 4BUZgVodAQqsHCMFKh92o8sRDBRtLdW8R7P6RJffpump (attempt 1): 
2025-12-10 02:56:11 | WARNING | app.Enrichment.rugcheck | RugCheck request error for FmXxuvCaoPhva6SRzCAC2pS6QLRVAWt9QrT8XRzqpump (attempt 1): 
2025-12-10 02:56:36 | WARNING | app.Enrichment.rugcheck | RugCheck request error for 2ahmA4CprMUKYWbktBjiMRBWCnf64r8k7j2qATimpump (attempt 1): 
2025-12-10 02:56:47 | WARNING | app.Enrichment.rugcheck | RugCheck request error for EtHGr5khRJsC53sp3YuxdzM4Xifcwp9x441Te8pqpump (attempt 1): 
2025-12-10 02:56:59 | WARNING | app.Enrichment.rugcheck | RugCheck request error for H4ndauLx4NZBzaDLd3tzbBCdUxM3ZPJNuqdU15supump (attempt 1): 
2025-12-10 03:09:21 | WARNING | app.Enrichment.rugcheck | RugCheck request error for EtHGr5khRJsC53sp3YuxdzM4Xifcwp9x441Te8pqpump (attempt 1): 
2025-12-10 03:09:40 | WARNING | app.Enrichment.rugcheck | RugCheck request error for ByYi5rtivwvUHFgWBcRcphfErkRi4dU4FNQVsia2pump (attempt 1): 
2025-12-10 03:09:57 | WARNING | app.Enrichment.rugcheck | RugCheck request error for 8pent8MoYZf4ZaK7U6H5CS8mVQK8f94xEzbwxm5Xpump (attempt 1): 
2025-12-10 03:10:12 | WARNING | app.Enrichment.rugcheck | RugCheck request error for 5eJUycCpF72DDni7Uc4NHQ6EcETtmsenqEHfaf5Wpump (attempt 1): 
2025-12-10 03:10:23 | WARNING | app.Enrichment.rugcheck | RugCheck request error for 5mmFJGzBvgyHJkcEhKN5iKoj1LEjzZ2VDLK34Qpdpump (attempt 1): 
2025-12-10 03:10:35 | WARNING | app.Enrichment.rugcheck | RugCheck request error for ArLnW62mAN1we7DUHGrFypfBGMcy2eq5cxCfRCoXpump (attempt 1): 
